OperatorName,Address.City,Address.PostalCode,Address.Street,Address.HouseNum,lat,lon,charger_count
eCarUp,Bad Zurzach,5330,Langwiesstrasse 2a,,47.585651,8.29439,1
eCarUp,Bad Zurzach,5330,Promenadestrasse 22,,47.585475,8.297827,1
eCarUp,Bad Zurzach,5330,Zürcherstrasse 40,,47.576873,8.313916,1
eCarUp,Bad Zurzach,5330,Zürcherstrasse 42,,47.57602,8.315165,1
eCarUp,Bad Zurzach,5330,Zürcherstrasse 42,,47.576059,8.315252,1
eCarUp,Bad Zurzach,5330,Zürcherstrasse 42,,47.576754,8.314223,1
eCarUp,Bad Zurzach,5330,Zürcherstrasse 42,,47.576793,8.314058,1
eCarUp,Bad Zurzach,5330,Zürcherstrasse 42/Halle 13,,47.575645,8.31436,1
eCarUp,Baden,5400,Bruggerstrasse 66,,47.479216,8.303174,1
eCarUp,Balerna,6828,Via S. Gottardo 101,,45.851542,9.003344,1
eCarUp,Balerna,6828,Via S. Gottardo 101,,45.851585,9.003346,1
eCarUp,Balerna,6830,Corso S. Gottardo 149,,45.839681,9.018833,1
eCarUp,Balerna,6830,Corso S. Gottardo 149,,45.839702,9.018804,1
eCarUp,Ballaigues,1338,Champ-Aux-Roses 1,,46.7276,6.404029,1
eCarUp,Ballaigues,1338,Pl. du Château 1,,46.729186,6.41562,1
eCarUp,Ballens,1144,Rte d'Apples 6,,46.553091,6.380374,1
eCarUp,Ballens,1144,Rte d'Apples 6,,46.553098,6.380327,1
eCarUp,Ballwil,6275,Sagistrasse 4,,47.156097,8.33116,1
eCarUp,Ballwil,6275,Sagistrasse 4,,47.156122,8.331123,1
eCarUp,Balterswil TG,8362,Hackenbergstrasse 5,,47.452517,8.939109,1
eCarUp,Balterswil TG,8362,Stockenstrasse 6,,47.454491,8.942038,1
eCarUp,Balterswil TG,8362,Stockenstrasse 6,,47.454661,8.941761,1
eCarUp,Balterswil TG,8362,Stockenstrasse 6,,47.454774,8.941953,1
eCarUp,Baltschieder,3937,Dorfstrasse 24,,46.309307,7.863955,1
eCarUp,Bas-Vully,1786,Rte du Canal 2,,46.974467,7.096149,1
eCarUp,Bas-Vully,1786,Rte du Canal 2,,46.9745,7.096249,1
eCarUp,Bas-Vully,1786,Rte du Canal 2,,46.974531,7.096339,1
eCarUp,Bas-Vully,1786,Rte du Canal 2,,46.974542,7.096407,1
eCarUp,Basel,4054,Rümelinbachweg 4,,47.551594,7.586021,1
eCarUp,Basse-Vendline,2944,Bonfol,,47.473926,7.155223,1
eCarUp,Bassecourt,2854,Rue du Chételon 5,,47.3391,7.23902,1
eCarUp,Bassecourt,2854,Rue du Chételon 5,,47.339101,7.239021,1
eCarUp,Bassersdorf,8303,Aeussere Auenstrasse 3,,47.440352,8.627569,1
eCarUp,Bassersdorf,8303,Aeussere Auenstrasse 3,,47.440365,8.627597,1
eCarUp,Bassersdorf,8303,Branziring 2,,47.445158,8.624238,1
eCarUp,Bauma,8494,Gublenstrasse 10,,47.366707,8.881216,1
eCarUp,Bauma,8494,Heinrich Gujerstrasse 30,,47.368169,8.880537,1
eCarUp,Bazenheid,9602,Neue Industriestrasse 81,,47.421206,9.068201,1
eCarUp,Beckenried,6375,Oeliweg 4,,46.969456,8.465216,1
eCarUp,Beckenried,6375,Oeliweg 4,,46.969469,8.465217,1
eCarUp,Beckenried,6375,Oeliweg 4,,46.969484,8.465217,1
eCarUp,Beckenried,6375,Oeliweg 4,,46.969498,8.46524,1
eCarUp,Beckenried,6375,Oeliweg 4,,46.96951,8.465241,1
eCarUp,Beckenried,6375,Ridlistrasse 30,,46.96961,8.457078,1
eCarUp,Beckenried,6375,Rütistrasse 26,,46.968294,8.467171,1
eCarUp,Beckenried,6375,Schulweg 13,,46.966424,8.4695,1
eCarUp,Beckenried,6375,Schulweg 13,,46.966447,8.469528,1
